Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Google Sign up,Chrome 107.0.0.0,,,2022-12-01 22:49:55,2022-12-01 22:52:30,2m - 34.400s,PASSED
,,,,,,,
Test Cases/GSU/Create Account,Chrome 107.0.0.0,,,2022-12-01 22:49:59,2022-12-01 22:50:09,10.930s,PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-12-01 22:49:59,2022-12-01 22:50:01,1.777s,PASSED
"navigateToUrl(""https://organizer.formi.co.in/"")",Chrome 107.0.0.0,,,2022-12-01 22:50:01,2022-12-01 22:50:01,0.374s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/button_Login""))",Chrome 107.0.0.0,,,2022-12-01 22:50:01,2022-12-01 22:50:02,1.054s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/div_Sign in with GoogleSign in with Google""))",Chrome 107.0.0.0,,,2022-12-01 22:50:02,2022-12-01 22:50:05,3.446s,PASSED
switchToWindowIndex(1),Chrome 107.0.0.0,,,2022-12-01 22:50:05,2022-12-01 22:50:06,0.031s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account (1)""), 0)",Chrome 107.0.0.0,GSU-001,,2022-12-01 22:50:06,2022-12-01 22:50:07,1.655s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account (1)""))",Chrome 107.0.0.0,"GSU-001
",,2022-12-01 22:50:07,2022-12-01 22:50:08,0.453s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account (1)""))",Chrome 107.0.0.0,GSU-002,,2022-12-01 22:50:08,2022-12-01 22:50:08,0.312s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account (1)""))",Chrome 107.0.0.0,,,2022-12-01 22:50:08,2022-12-01 22:50:08,0.356s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_For my personal use (1)""))",Chrome 107.0.0.0,,,2022-12-01 22:50:08,2022-12-01 22:50:09,1.156s,PASSED
,,,,,,,
Test Cases/GSU/First Name,Chrome 107.0.0.0,,,2022-12-01 22:50:09,2022-12-01 22:50:21,11.897s,PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-12-01 22:50:10,2022-12-01 22:50:12,1.856s,PASSED
"navigateToUrl(""https://organizer.formi.co.in/"")",Chrome 107.0.0.0,,,2022-12-01 22:50:12,2022-12-01 22:50:12,0.337s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/span_Login (2)""))",Chrome 107.0.0.0,,,2022-12-01 22:50:12,2022-12-01 22:50:13,1.100s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/div_Sign in with GoogleSign in with Google (1)""))",Chrome 107.0.0.0,,,2022-12-01 22:50:13,2022-12-01 22:50:16,3.319s,PASSED
switchToWindowIndex(1),Chrome 107.0.0.0,,,2022-12-01 22:50:16,2022-12-01 22:50:16,0.028s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - Google Accounts/span_Create account (2)""))",Chrome 107.0.0.0,,,2022-12-01 22:50:16,2022-12-01 22:50:18,1.707s,PASSED
