Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OTP,Chrome 108.0.0.0,,,2022-12-03 16:11:57,2022-12-03 16:15:27,3m - 30.021s,FAILED
,,,,,,,
Test Cases/Organizer/OTP - REFER/Valid OTP - Expiry,Chrome 108.0.0.0,,,2022-12-03 16:12:00,2022-12-03 16:13:19,1m - 18.756s,FAILED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-03 16:12:01,2022-12-03 16:12:02,1.627s,PASSED
"navigateToUrl(""https://organizer-testing.formi.co.in/"")",Chrome 108.0.0.0,,,2022-12-03 16:12:02,2022-12-03 16:12:03,0.629s,PASSED
currentWindow = getWindowIndex(),Chrome 108.0.0.0,,,2022-12-03 16:12:03,2022-12-03 16:12:03,0.020s,PASSED
"executeJavaScript(""window.open();"", [])",Chrome 108.0.0.0,,,2022-12-03 16:12:03,2022-12-03 16:12:03,0.127s,PASSED
switchToWindowIndex(currentWindow + 1),Chrome 108.0.0.0,,,2022-12-03 16:12:03,2022-12-03 16:12:03,0.030s,PASSED
"navigateToUrl(""https://temp-mail.io/en"")",Chrome 108.0.0.0,,,2022-12-03 16:12:03,2022-12-03 16:12:04,1.063s,PASSED
delay(3),Chrome 108.0.0.0,,,2022-12-03 16:12:04,2022-12-03 16:12:07,3.025s,PASSED
"click(findTestObject(""Object Repository/Page_Disposable temporary email - Temp Mail/mail_id (1)""))",Chrome 108.0.0.0,,,2022-12-03 16:12:07,2022-12-03 16:12:10,3.113s,PASSED
username = getContents(null).getTransferData(stringFlavor),Chrome 108.0.0.0,,,2022-12-03 16:12:10,2022-12-03 16:12:10,0.092s,PASSED
switchToWindowIndex(0),Chrome 108.0.0.0,,,2022-12-03 16:12:10,2022-12-03 16:12:10,0.035s,PASSED
"click(findTestObject(""Object Repository/Page_Weve got your back/button_Register (1)""))",Chrome 108.0.0.0,,,2022-12-03 16:12:10,2022-12-03 16:12:16,5.667s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/input_Email Address_email (3)""), username)",Chrome 108.0.0.0,,,2022-12-03 16:12:16,2022-12-03 16:12:20,4.103s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/input_Create Password_password (3)""), ""cvW8qx4B2o3F4VwP/kNsqA=="")",Chrome 108.0.0.0,,,2022-12-03 16:12:20,2022-12-03 16:12:22,1.974s,PASSED
"click(findTestObject(""Object Repository/Page_Sign-up to get the Formi dashboard/button_Next (1)""))",Chrome 108.0.0.0,,,2022-12-03 16:12:22,2022-12-03 16:12:24,1.901s,PASSED
switchToWindowIndex(1),Chrome 108.0.0.0,,,2022-12-03 16:12:24,2022-12-03 16:12:24,0.037s,PASSED
delay(15),Chrome 108.0.0.0,,,2022-12-03 16:12:24,2022-12-03 16:12:39,15.006s,PASSED
"click(findTestObject(""Object Repository/Page_Verify your account - Temp Mail/cookies cross""))",Chrome 108.0.0.0,,,2022-12-03 16:12:39,2022-12-03 16:12:45,5.984s,PASSED
"click(findTestObject(""Object Repository/Page_1 new message - Temp Mail/Mail open""))",Chrome 108.0.0.0,,,2022-12-03 16:12:45,2022-12-03 16:12:52,6.946s,PASSED
"otp1 = getText(findTestObject(""Object Repository/Page_Verify your account - Temp Mail/otp1""))",Chrome 108.0.0.0,,,2022-12-03 16:12:52,2022-12-03 16:13:19,27.146s,FAILED
,,,,,,,
